extension_pct,regime,component,increment_kW,share_pct
6,0,U1,-1.9801364289999372,-1.769126484566063
6,0,U2,23.248632236297624,20.771180418080057
6,0,U3,39.44648759625951,35.24293826809426
6,0,U4,51.212368669925496,45.75500779867191
6,0,T1,0.0,0.0
6,0,T2,-3.1358339555411004e-10,-2.8016690267908277e-10
6,0,T3,0.0,0.0
6,0,T4,0.0,0.0
6,1,U1,53.08228391638298,48.326579423950015
6,1,U2,45.097550470336884,41.0572076752276
6,1,U3,-19.757626270811393,-17.987517204594113
6,1,U4,31.418555598636527,28.60373010541627
6,1,T1,4.6608724917664157e-14,4.243299421951504e-14
6,1,T2,-2.3354687983474347e-14,-2.1262313911225736e-14
6,1,T3,2.372771553293027e-13,2.1601921482077438e-13
6,1,T4,0.0,0.0
6,2,U1,47.276590420815175,45.60099688708944
6,2,U2,-2.371101033527986,-2.2870636373404505
6,2,U3,27.037949010874335,26.079660519158566
6,2,U4,31.73102850172273,30.60640623724267
6,2,T1,-6.3760502643739975e-09,-6.150068049950356e-09
6,2,T2,-7.006406395042304e-14,-6.758082877087874e-14
6,2,T3,-4.7455431065860536e-14,-4.5773498999137016e-14
6,2,T4,-4.6276470271754975e-14,-4.463632334785871e-14
6,3,U1,35.83071894067492,32.829656311284886
6,3,U2,14.262112353554928,13.067564946586002
6,3,U3,44.467837099166985,40.7433579909172
6,3,U4,14.536895730798369,13.319333376069443
6,3,T1,-0.07537885183475297,-0.06906536826602656
6,3,T2,0.5140113156515914,0.4709594262089137
6,3,T3,9.9080904921071e-06,9.0782215700319e-06
6,3,T4,-0.3948904831217757,-0.36181576102198487
6,4,U1,-48.823277469083216,-48.696154904967166
6,4,U2,53.7229748426352,53.5830947963138
6,4,U3,54.61212364876913,54.469928500267464
6,4,U4,40.76122570020736,40.655094530893614
6,4,T1,-0.5212038690616794,-0.5198467956389808
6,4,T2,0.3615449873203473,0.36060362229501547
6,4,T3,0.15990713395981393,0.15949077918104487
